code,catalog_name,catalog_depth,parent_catalog_code,full_catalog_name
5484,Contractor Pants & Coveralls,4,2306,Apparel & Accessories > Clothing > Uniforms > Contractor Pants & Coveralls
5878,Flight Suits,4,2306,Apparel & Accessories > Clothing > Uniforms > Flight Suits
7235,Food Service Uniforms,4,2306,Apparel & Accessories > Clothing > Uniforms > Food Service Uniforms
7237,Chef's Hats,5,7235,Apparel & Accessories > Clothing > Uniforms > Food Service Uniforms > Chef's Hats
2396,Chef's Jackets,5,7235,Apparel & Accessories > Clothing > Uniforms > Food Service Uniforms > Chef's Jackets
7236,Chef's Pants,5,7235,Apparel & Accessories > Clothing > Uniforms > Food Service Uniforms > Chef's Pants
5949,Military Uniforms,4,2306,Apparel & Accessories > Clothing > Uniforms > Military Uniforms
206,School Uniforms,4,2306,Apparel & Accessories > Clothing > Uniforms > School Uniforms
3414,Security Uniforms,4,2306,Apparel & Accessories > Clothing > Uniforms > Security Uniforms
3598,Sports Uniforms,4,2306,Apparel & Accessories > Clothing > Uniforms > Sports Uniforms
3888,American Football Uniforms,5,3598,Apparel & Accessories > Clothing > Uniforms > Sports Uniforms > American Football Uniforms
3191,Baseball Uniforms,5,3598,Apparel & Accessories > Clothing > Uniforms > Sports Uniforms > Baseball Uniforms
3439,Basketball Uniforms,5,3598,Apparel & Accessories > Clothing > Uniforms > Sports Uniforms > Basketball Uniforms
3683,Cheerleading Uniforms,5,3598,Apparel & Accessories > Clothing > Uniforms > Sports Uniforms > Cheerleading Uniforms
3724,Cricket Uniforms,5,3598,Apparel & Accessories > Clothing > Uniforms > Sports Uniforms > Cricket Uniforms
3958,Hockey Uniforms,5,3598,Apparel & Accessories > Clothing > Uniforms > Sports Uniforms > Hockey Uniforms
4003,Martial Arts Uniforms,5,3598,Apparel & Accessories > Clothing > Uniforms > Sports Uniforms > Martial Arts Uniforms
3253,Officiating Uniforms,5,3598,Apparel & Accessories > Clothing > Uniforms > Sports Uniforms > Officiating Uniforms
5564,Soccer Uniforms,5,3598,Apparel & Accessories > Clothing > Uniforms > Sports Uniforms > Soccer Uniforms
3379,Softball Uniforms,5,3598,Apparel & Accessories > Clothing > Uniforms > Sports Uniforms > Softball Uniforms
3852,Wrestling Uniforms,5,3598,Apparel & Accessories > Clothing > Uniforms > Sports Uniforms > Wrestling Uniforms
2292,White Coats,4,2306,Apparel & Accessories > Clothing > Uniforms > White Coats
5441,Wedding & Bridal Party Dresses,3,1604,Apparel & Accessories > Clothing > Wedding & Bridal Party Dresses
5330,Bridal Party Dresses,4,5441,Apparel & Accessories > Clothing > Wedding & Bridal Party Dresses > Bridal Party Dresses
5329,Wedding Dresses,4,5441,Apparel & Accessories > Clothing > Wedding & Bridal Party Dresses > Wedding Dresses
167,Clothing Accessories,2,166,Apparel & Accessories > Clothing Accessories
5942,Arm Warmers & Sleeves,3,167,Apparel & Accessories > Clothing Accessories > Arm Warmers & Sleeves
5422,Baby & Toddler Clothing Accessories,3,167,Apparel & Accessories > Clothing Accessories > Baby & Toddler Clothing Accessories
